86e962e	2026-06-02	fix(db): thread-local SQLite connections with per-connection sqlite-vec
72349f6	2026-06-02	refactor(db): make transaction depth counter thread-local
7434770	2026-06-02	fix(api): run engine-bound routes in the threadpool, not the event loop
d0b2231	2026-06-02	perf(background): chunk all-nodes write transactions
9cf0f93	2026-06-02	fix(db,api): harden transaction lock + document whisper async constraint
c3c7bad	2026-06-13	fix(db): resolve graph/search connections per-thread, not captured at init
b7e93de	2026-06-15	docs(background): design spec for incremental auto-linker cursor (#26)
8ceb1de	2026-06-15	docs(background): implementation plan for incremental auto-linker cursor (#26)
3ee3dfa	2026-06-15	docs(background): revise #26 design+plan after council (v2)
f1c5731	2026-06-15	docs(background): v3 design+plan addressing council v2 (#26)
4b1050e	2026-06-15	feat(config): add auto_link_max_nodes_per_run (#26)
33ab79d	2026-06-15	feat(index): add monotonic nodes.seq column + backfill (#26)
57981f8	2026-06-15	feat(index): bump nodes.seq on content write in builder (#26)
f190f4c	2026-06-15	feat(background): integer seq watermark helpers (#26)
a85516c	2026-06-15	feat(background): incremental seq node select (#26)
80b8a10	2026-06-15	feat(background): classify invalid LLM output as error, not None (#26)
d99d4d2	2026-06-15	feat(background): drive auto_linker by seq cursor, retry on LLM failure (#26)
f9c77d8	2026-06-15	feat(background): share seq scan in _find_link_candidates (#26)
51c3396	2026-06-15	feat(index): reset auto_link watermark on full_rebuild (#26)
e4634d8	2026-06-15	chore(style): fix E702 semicolons in tests, remove unused json import (#26)
74a4152	2026-06-15	docs(background): regenerate v3 HTML companions (#26)
83521fd	2026-06-15	fix(index): create idx_nodes_seq in _migrate, not schema.sql (#26)
fd31a29	2026-06-15	docs(background): bounded forgetting (#28) design spec
b0316d3	2026-06-15	docs(background): bounded forgetting (#28) HTML companion
b5425e9	2026-06-15	docs(background): bounded forgetting (#28) implementation plan
4d7aa02	2026-06-15	docs(background): bounded forgetting (#28) plan HTML companions
96985ee	2026-06-15	docs(background): revise #28 plan per council R1 (cap protections, TOCTOU, archived_at durability)
b458e47	2026-06-15	docs(background): revise #28 plan per council R2 (atomic guarded delete, lazy legacy backfill, cap dedup)
fc4ce29	2026-06-15	docs(background): revise #28 plan per council R3 (hybrid guard, atomic soft_delete, move-first, disk backfill)
71c4c50	2026-06-15	docs(background): finalize #28 plan per council R4 (H9 write-all; document accepted deletion/mutation race)
cc4d132	2026-06-15	docs(background): cite engine race follow-up as #29 in #28 spec
34fde4e	2026-06-15	feat(config): bounded forgetting settings (#28)
22cd865	2026-06-15	feat(index): add durable archived_at timestamp to nodes (#28)
2980f74	2026-06-15	feat(engine): stamp archived_at on entering archival, clear on leaving (#28)
6aa6e3e	2026-06-15	feat(store): stamp deleted_at on soft_delete; add list_deleted/purge (#28)
3d57c0b	2026-06-15	feat(background): forgetting gates + atomic guarded soft-delete (#28)
d8f29ca	2026-06-15	feat(background): cap backstop forget-score eviction respecting protections (#28)
4a2c28f	2026-06-15	feat(background): phase B hard-purge of expired tombstones (#28)
1840bbf	2026-06-15	feat(background): register forgetting manager job (#28)
26795a8	2026-06-15	feat(background): lazy atomic legacy archived_at file backfill (#28)
706d29e	2026-06-15	refactor(background): address final-review nits — purge reuses known path, log forgetting failures with stack trace (#28)
dfdc989	2026-06-15	fix(session-watcher): ingest only appended turns via byte cursor (#33)
08cd9b0	2026-06-15	fix(session-watcher): ingest only appended turns via byte cursor (#33)
c9d54e1	2026-06-16	feat(background): run forgetting_manager in the sleep-cycle pass (#28)
997a26c	2026-06-16	fix(server): exit cleanly on port conflict instead of KeepAlive respawn loop
bad08b0	2026-06-16	fix(background): tolerate markdown-fenced JSON in LLM maintenance jobs
ccfb6e0	2026-06-16	fix(llm): disable Ollama thinking to stop JSON truncation
9f3674a	2026-06-16	fix(background): tolerate markdown-fenced JSON in maintenance jobs
171d87a	2026-06-16	fix(server): exit cleanly on port conflict instead of KeepAlive respawn loop
44a16b7	2026-06-16	docs(spec): embedding delta backfill + continuous reconciliation (#32)
b80980a	2026-06-16	docs(spec): rich HTML companion for embedding delta backfill (#32)
7438b8b	2026-06-16	docs(plan): embedding delta backfill implementation plan, 8 tasks (#32)
aafae4a	2026-06-16	docs(plan): rich HTML companion for embedding delta backfill overview (#32)
7272d9d	2026-06-16	docs(plan): rich HTML companions for all 8 task files (#32)
87385a9	2026-06-16	docs(plan): revise #32 plan per council R1 — quarantine, scheduler fallback, completeness, observability
b0167b4	2026-06-16	docs(council): R2 review of revised #32 plan — quarantine critique, recommend simpler design
6b4ffce	2026-06-16	feat(config): add embedding backfill + index-retry settings (#32)
3765072	2026-06-16	refactor(engine): extract _embed_node_rows returning embedded/failed ids (#32)
4b36b27	2026-06-16	feat(engine): backfill_embeddings (delta + schema-bump, no quarantine) (#32)
a19cac7	2026-06-16	feat(engine): bounded retry in _index_embedding to reduce embedding gaps (#32)
2c93111	2026-06-16	perf(engine): stop blocking startup on full re-embed; recovery moves to job (#32)
d76cc38	2026-06-16	feat(background): embedding_backfill job, non-ok on incomplete store (#32)
b29981e	2026-06-16	feat(background): register embedding_backfill job with post-bind first run (#32)
4c72d3b	2026-06-16	feat(api): run embedding_backfill in the sleep-cycle run-all pass (#32)
cd43e77	2026-06-16	feat(server): scheduler-independent embedding backfill fallback with retry/backoff (#32)
dccdfb5	2026-06-16	feat(engine): expose embedding_gap + schema_version in stats; E2E recovery test (#32)
c535bfa	2026-06-16	docs(plan): reconcile #32 plan to implemented no-quarantine design + regen companions
0544283	2026-06-16	fix(api): run_all_tasks returns status=degraded + HTTP 503 when any task fails (C1/I1)
f1fceb7	2026-06-16	fix(main): lifecycle-aware backfill fallback with degraded health signal (C2/CH1/CH2)
512e1f2	2026-06-16	fix(ui): AdminPanel surfaces degraded sleep-cycle instead of false success (I2)
66dcdaf	2026-06-16	chore: gitignore .council/ ephemeral run artifacts
2062f24	2026-06-16	fix(main): keep fallback thread handle when it survives the join timeout (CR1)
b1f6592	2026-06-16	fix(api): /admin/health reports degraded when scheduler embedding_backfill fails (CR2)
4174db0	2026-06-16	docs(spec): graph view WebGL live-force migration to sigma.js
bb5830f	2026-06-16	fix(engine): make embedding backfill cooperatively cancellable (CRA/IA)
b9b13ab	2026-06-16	fix(main): atomic fallback singleton + forward stop_event; revert CR1 (CRB)
96525b5	2026-06-16	fix(api): run-all records task outcomes in JobTracker so health reflects manual runs (CRC)
b4a84f1	2026-06-16	style(test): move threading import to top of fallback test module (E402)
132f828	2026-06-16	fix(main): join fallback thread without timeout so engine never closes mid-backfill (C-A/C-B)
6d54746	2026-06-17	fix(lifecycle): cancel scheduler backfill on shutdown + bounded fallback join with post-timeout policy (C1/C2)
b02d98d	2026-06-17	fix(lifecycle): bounded scheduler shutdown + guard schema DELETE on cancel; lifespan shutdown test (A/B/D)
59b57ba	2026-06-17	fix(lifecycle): per-lifespan stop event in app.state so reload cannot rearm an orphan worker (R1)
342e96f	2026-06-16	docs(spec): graph view WebGL live-force migration to sigma.js
86487bf	2026-06-17	docs(plan): sigma.js WebGL graph view implementation plan (8 tasks)
cc102de	2026-06-17	docs(plan): rich HTML companions for the 9 sigma.js plan files
86a285c	2026-06-17	docs(plan): keep only the overview HTML companion; drop per-task companions
43e9d6c	2026-06-17	chore: gitignore local tool artifacts (.council, docs/superpowers, graphify-out)
40a69d1	2026-06-17	build(ui): add sigma/graphology deps + vitest test runner
faa52aa	2026-06-17	refactor(ui): extract pure graph visual helpers + self-role map
f06ad9e	2026-06-17	feat(ui): buildGraph + applyAppearance (in-place restyle) for graphology
163a017	2026-06-17	feat(ui): sigma reducers — hover, multi-highlight, glow-only, legend focus, filter-dim
14a0fc8	2026-06-17	feat(ui): injectable FA2 layout wrapper with settle/reheat + static fallback
97b157f	2026-06-17	feat(ui): mount sigma + FA2 layout in GraphView
fc7139d	2026-06-17	feat(ui): sigma hover highlight + click selection
3d1f691	2026-06-17	feat(ui): port GraphView imperative ref API to sigma
c721ef5	2026-06-17	feat(ui): legend focus (space/tier/role/edge) + filter-dim via reducer
1b2ce1c	2026-06-17	feat(ui): node drag reheat + hover tooltip
044a90a	2026-06-17	feat(ui): focusNodeId prop + sigma zoom controls
4730b44	2026-06-17	fix(ui): map FilterDrawer node-type filter to dimmed.type (C2 parity)
94aeaf1	2026-06-17	fix(ui): store domain node type under nodeType (sigma reserves node.type)
1c471df	2026-06-17	test(ui): Playwright organic-layout (non-grid) + node-drag/reheat tests
079cf34	2026-06-17	chore(ui): remove cytoscape deps + orphan module declarations
42c8e60	2026-06-17	refactor(ui): centralize node/edge/tier enum lists in types.ts (review)
a3c4b41	2026-06-17	fix(graph): size nodes in layout-position units so they scale with zoom
5b60e5e	2026-06-17	feat(graph): size nodes by degree, not access_count
8e1445d	2026-06-17	feat(graph): size by unique-neighbour count after edges are built
03a3d76	2026-06-17	feat(graph): show node label only on hover (Obsidian-style)
be6212f	2026-06-17	fix(graph): remove duplicate native label on hover — HTML tooltip is the sole hover display
61165a4	2026-06-17	fix(graph): re-fit camera to whole graph when clearing a legend focus
84e8408	2026-06-24	fix(graph): force full-graph zoom-out when clearing legend focus
67e6df5	2026-06-24	refactor(graph): extract fitToNodes into fit.ts (no behavior change)
652c6de	2026-06-24	test(graph): failing test — fitToNodes uses raw coords instead of framed
6600ec6	2026-06-24	fix(graph): frame legend/space focus in framed coords so nodes stop vanishing
d965f06	2026-06-24	test(graph): manual real-sigma smoke — space focus frames the space (bbox containment)
6ae4b1f	2026-06-15	fix(session-watcher): ingest only appended turns via byte cursor (#33)
ff37b17	2026-06-24	feat(parser): safe boundary payload (text-bearing assistant completes a pair)
35b1569	2026-06-24	feat(config): session_watcher_idle_threshold (default 30s)
5122398	2026-06-24	fix(session-watcher): safe-payload ingest, idle flush + retry, in-flight guard (#34)
