86e962e	2026-06-02	fix(db): thread-local SQLite connections with per-connection sqlite-vec	src/ormah/index/db.py,tests/test_background/test_importance_scorer.py,tests/test_index/test_db_concurrency.py
72349f6	2026-06-02	refactor(db): make transaction depth counter thread-local	src/ormah/index/db.py
7434770	2026-06-02	fix(api): run engine-bound routes in the threadpool, not the event loop	src/ormah/api/routes_admin.py,src/ormah/api/routes_agent.py,src/ormah/api/routes_ingest.py,src/ormah/api/routes_ui.py,tests/test_api/test_routes_concurrency.py
d0b2231	2026-06-02	perf(background): chunk all-nodes write transactions	src/ormah/background/auto_cluster.py,src/ormah/background/importance_scorer.py,tests/test_background/test_chunked_writes.py
9cf0f93	2026-06-02	fix(db,api): harden transaction lock + document whisper async constraint	src/ormah/api/routes_agent.py,src/ormah/index/db.py
c3c7bad	2026-06-14	fix(db): resolve graph/search connections per-thread, not captured at init	src/ormah/embeddings/hybrid_search.py,src/ormah/engine/memory_engine.py,src/ormah/index/graph.py,tests/test_engine/test_recall_concurrency.py
b7e93de	2026-06-15	docs(background): design spec for incremental auto-linker cursor (#26)	docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-design.html,docs/superpowers/specs/2026-06-15-auto-linker-incremental-cursor-design.md
8ceb1de	2026-06-15	docs(background): implementation plan for incremental auto-linker cursor (#26)	docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.html,docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.md
3ee3dfa	2026-06-15	docs(background): revise #26 design+plan after council (v2)	docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-design.html,docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.html,docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.md,docs/superpowers/specs/2026-06-15-auto-linker-incremental-cursor-design.md
f1c5731	2026-06-15	docs(background): v3 design+plan addressing council v2 (#26)	docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.md,docs/superpowers/specs/2026-06-15-auto-linker-incremental-cursor-design.md
4b1050e	2026-06-15	feat(config): add auto_link_max_nodes_per_run (#26)	src/ormah/config.py,tests/test_background/test_auto_linker.py
33ab79d	2026-06-15	feat(index): add monotonic nodes.seq column + backfill (#26)	src/ormah/index/db.py,src/ormah/index/schema.sql
57981f8	2026-06-15	feat(index): bump nodes.seq on content write in builder (#26)	src/ormah/index/builder.py,tests/test_background/test_auto_linker.py
f190f4c	2026-06-15	feat(background): integer seq watermark helpers (#26)	src/ormah/background/auto_linker.py,tests/test_background/test_auto_linker.py
a85516c	2026-06-15	feat(background): incremental seq node select (#26)	src/ormah/background/auto_linker.py,tests/test_background/test_auto_linker.py
80b8a10	2026-06-15	feat(background): classify invalid LLM output as error, not None (#26)	src/ormah/background/auto_linker.py,tests/test_background/test_auto_linker.py
d99d4d2	2026-06-15	feat(background): drive auto_linker by seq cursor, retry on LLM failure (#26)	src/ormah/background/auto_linker.py,tests/test_background/test_auto_linker.py
f9c77d8	2026-06-15	feat(background): share seq scan in _find_link_candidates (#26)	src/ormah/background/auto_linker.py,tests/test_background/test_auto_linker.py
51c3396	2026-06-15	feat(index): reset auto_link watermark on full_rebuild (#26)	src/ormah/index/builder.py,tests/test_background/test_auto_linker.py
e4634d8	2026-06-15	chore(style): fix E702 semicolons in tests, remove unused json import (#26)	.gitignore,src/ormah/index/builder.py,tests/test_background/test_auto_linker.py
74a4152	2026-06-15	docs(background): regenerate v3 HTML companions (#26)	docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-design.html,docs/superpowers/plans/2026-06-15-auto-linker-incremental-cursor-plan.html
83521fd	2026-06-15	fix(index): create idx_nodes_seq in _migrate, not schema.sql (#26)	src/ormah/index/db.py,src/ormah/index/schema.sql,tests/test_index/test_migration_seq.py
fd31a29	2026-06-15	docs(background): bounded forgetting (#28) design spec	docs/superpowers/specs/2026-06-15-bounded-forgetting-design.md
b0316d3	2026-06-15	docs(background): bounded forgetting (#28) HTML companion	docs/superpowers/plans/2026-06-15-bounded-forgetting-design.html
